Chn,Identifier,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,334,8,6,0,0,0,0,0,0,0,4.44169,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.44194,R
0,0000034A,8,0B,0,0,0,0,0,0,0,4.44212,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.44237,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.44263,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.44288,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.44314,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.4434,R
0,199,8,0,0,0,0,0,0,0,FF,4.44365,R
0,1E5,8,3,0,0,0,0,0,0,0,4.44391,R
0,1E9,8,5,0,0,0,0,0,0,0,4.44485,R
0,348,8,0A,0,0,0,0,0,0,0,4.44689,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.4498,R
0,000000C9,8,18,C8,EF,0,0,0,0,0,4.44997,R
0,191,8,0,0,0,0,0,0,0,0,4.45022,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.45193,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.45218,R
0,1E5,8,3,0,0,0,0,0,0,0,4.45244,R
0,121,4,2,0,0,0,,,,,4.45466,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.45492,R
0,199,8,0,0,0,0,0,0,0,FF,4.45577,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.45602,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.45628,R
0,000001F5,8,0,0,0,0,0,FF,0,0,4.45654,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.45688,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.45978,R
0,000000C9,8,27,C8,EF,0,0,0,0,0,4.46004,R
0,191,8,0,0,0,0,0,0,0,0,4.46021,R
0,184,8,4,0,0,0,0,0,0,0,4.46089,R
0,334,8,6,0,0,0,0,0,0,0,4.46114,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.4614,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.46191,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.46217,R
0,1E5,8,3,0,0,0,0,0,0,0,4.46242,R
0,1E9,8,5,0,0,0,0,0,0,0,4.4649,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.46558,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.46584,R
0,199,8,0,0,0,0,0,0,0,FF,4.46874,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.469,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.46976,R
0,000000C9,8,3B,C8,EF,0,0,0,0,0,4.47002,R
0,191,8,0,0,0,0,0,0,0,0,4.47028,R
0,10,8,0,0,0,0,0,0,0,0,4.47045,R
0,000002C3,8,6D,C8,EF,0,0,0,0,0,4.4707,R
0,000003C1,8,D1,C8,EF,0,0,0,0,0,4.47096,R
0,000003D1,8,99,C9,EF,0,0,0,0,0,4.47121,R
0,3E9,8,35,C9,EF,0,0,0,0,0,4.47147,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.4719,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.47215,R
0,1E5,8,3,0,0,0,0,0,0,0,4.47241,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.47685,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.47975,R
0,000000C9,8,E0,C8,EF,0,0,0,0,0,4.48,R
0,121,4,2,0,0,0,,,,,4.48017,R
0,130,4,CB,3D,0,0,,,,,4.48034,R
0,191,8,0,0,0,0,0,0,0,0,4.4806,R
0,184,8,4,0,0,0,0,0,0,0,4.48086,R
0,334,8,6,0,0,0,0,0,0,0,4.48111,R
0,199,8,0,0,0,0,0,0,0,FF,4.48137,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.48162,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.48188,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.48214,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.48239,R
0,000001F5,8,0,0,0,0,0,FF,0,0,4.48265,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.4829,R
0,1E5,8,3,0,0,0,0,0,0,0,4.48316,R
0,1E9,8,5,0,0,0,0,0,0,0,4.48487,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.48777,R
