Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,000004F2,8,2,0,0,0,1,0,0,0,0.98056,R
0,587,8,1,0,0,0,2,0,0,0,0.98082,R
0,316,8,2,0,0,0,1,0,0,0,0.98875,R
0,329,8,2,0,0,0,1,0,0,0,0.98892,R
0,382,8,2,0,0,0,1,0,0,0,0.98918,R
0,0000017D,8,C1,CF,F4,1,0,0,0,0,0.98944,R
0,0000017F,8,25,D0,F4,1,0,0,0,0,0.98969,R
0,184,8,89,D0,F4,1,0,0,0,0,0.98995,R
0,000001C7,8,5D,CF,F4,1,0,0,0,0,0.9902,R
0,000001CD,8,C1,CF,F4,1,0,0,0,0,0.99037,R
0,1E9,8,25,D0,F4,1,0,0,0,0,0.99063,R
0,334,8,ED,D0,F4,1,0,0,0,0,0.99089,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.99114,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.9914,R
0,587,8,1,0,0,0,2,0,0,0,0.99165,R
0,370,8,2,0,0,0,1,0,0,0,0.99191,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.99217,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.99234,R
0,316,8,2,0,0,0,1,0,0,0,1.00053,R
0,329,8,2,0,0,0,1,0,0,0,1.00078,R
0,382,8,2,0,0,0,1,0,0,0,1.00104,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.0013,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.00147,R
0,587,8,1,0,0,0,2,0,0,0,1.00172,R
0,000000A2,8,18,0,0,0,0,0,0,0,1.00932,R
0,000000B2,8,0,0,0,0,0,0,0,0,1.00957,R
0,000000C4,8,20,4E,0,0,0,0,0,0,1.00983,R
0,316,8,2,0,0,0,1,0,0,0,1.01009,R
0,329,8,2,0,0,0,1,0,0,0,1.01034,R
0,382,8,2,0,0,0,1,0,0,0,1.0106,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.01085,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.01111,R
0,587,8,1,0,0,0,2,0,0,0,1.01137,R
0,370,8,2,0,0,0,1,0,0,0,1.01154,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.01179,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.01205,R
0,316,8,2,0,0,0,1,0,0,0,1.02016,R
0,329,8,2,0,0,0,1,0,0,0,1.02041,R
0,382,8,2,0,0,0,1,0,0,0,1.02067,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.02092,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.02118,R
0,587,8,1,0,0,0,2,0,0,0,1.02144,R
0,120,4,F0,55,0,0,0,0,,,1.0234,R
0,000001C7,8,E1,CF,F4,1,0,0,0,0,1.02937,R
0,184,8,0D,D1,F4,1,0,0,0,0,1.02963,R
0,000001CD,8,45,D0,F4,1,0,0,0,0,1.0298,R
0,1E9,8,A9,D0,F4,1,0,0,0,0,1.03005,R
0,316,8,2,0,0,0,1,0,0,0,1.03031,R
0,329,8,2,0,0,0,1,0,0,0,1.03057,R
0,334,8,71,D1,F4,1,0,0,0,0,1.03082,R
0,382,8,2,0,0,0,1,0,0,0,1.03108,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.03125,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.0315,R
0,587,8,1,0,0,0,2,0,0,0,1.03176,R
0,370,8,2,0,0,0,1,0,0,0,1.03202,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.03227,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.03253,R
0,316,8,2,0,0,0,1,0,0,0,1.04046,R
0,329,8,2,0,0,0,1,0,0,0,1.04072,R
0,382,8,2,0,0,0,1,0,0,0,1.04098,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.04123,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.04149,R
0,587,8,1,0,0,0,2,0,0,0,1.04174,R
0,316,8,2,0,0,0,1,0,0,0,1.04968,R
0,329,8,2,0,0,0,1,0,0,0,1.04994,R
0,382,8,2,0,0,0,1,0,0,0,1.05019,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.05045,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.05062,R
0,587,8,1,0,0,0,2,0,0,0,1.05088,R
0,370,8,2,0,0,0,1,0,0,0,1.05113,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.05139,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.05164,R
0,000000A2,8,18,0,0,0,0,0,0,0,1.05932,R
0,000000B2,8,0,0,0,0,0,0,0,0,1.05958,R
0,000000C4,8,20,4E,0,0,0,0,0,0,1.05984,R
0,316,8,2,0,0,0,1,0,0,0,1.06009,R
0,329,8,2,0,0,0,1,0,0,0,1.06035,R
0,382,8,2,0,0,0,1,0,0,0,1.0606,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.06086,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.06112,R
0,587,8,1,0,0,0,2,0,0,0,1.06137,R
0,316,8,2,0,0,0,1,0,0,0,1.06931,R
0,184,8,2D,D1,F4,1,0,0,0,0,1.06956,R
0,000001C7,8,1,D0,F4,1,0,0,0,0,1.06982,R
