Chn,Identifier Flg,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000000C1,8,1,0,0,0,0,0,0,0,0.17143,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.17169,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.17195,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.1722,R
0,00000184,8,4,0,0,0,0,0,0,0,0.17246,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.17271,R
0,00000334,8,6,0,0,0,0,0,0,0,0.17289,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.17314,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.1734,R
0,000000C9,8,20,B4,D4,9,0,0,0,0,0.1798,R
0,00000191,8,0,0,0,0,0,0,0,0,0.18005,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.18116,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.18142,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.18167,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.18193,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.18338,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.18364,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.18389,R
0,00000121,4,2,0,0,0,,,,,0.18833,R
0,000000C9,8,2F,B4,D4,9,0,0,0,0,0.18978,R
0,00000191,8,0,0,0,0,0,0,0,0,0.19004,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.19029,R
0,000001C3,8,34,B4,D4,9,0,0,0,0,0.19046,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.19123,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.19149,R
0,0000017D,8,0C,0,0,0,0,0,0,0,0.19174,R
0,0000017F,8,0D,0,0,0,0,0,0,0,0.192,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.19217,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.19243,R
0,00000184,8,4,0,0,0,0,0,0,0,0.19268,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.19294,R
0,00000348,8,0A,0,0,0,0,0,0,0,0.19319,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.19345,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.19371,R
0,000002F9,8,9,0,0,0,0,0,0,0,0.19396,R
0,00000334,8,6,0,0,0,0,0,0,0,0.19422,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.19447,R
0,0000034A,8,0B,0,0,0,0,0,0,0,0.19473,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.19601,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.19627,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.19652,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.19678,R
0,000000C9,8,43,B4,D4,9,0,0,0,0,0.19977,R
0,00000191,8,0,0,0,0,0,0,0,0,0.20002,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.20122,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.20147,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.20173,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.20343,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.20898,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.20924,R
0,000000C9,8,52,B4,D4,9,0,0,0,0,0.20975,R
0,00000191,8,0,0,0,0,0,0,0,0,0.21001,R
0,000002C3,8,84,B4,D4,9,0,0,0,0,0.21026,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.2112,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.21146,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.21171,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.21197,R
0,00000184,8,4,0,0,0,0,0,0,0,0.21222,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.21248,R
0,000001C3,8,8A,B4,D4,9,0,0,0,0,0.21265,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.21291,R
0,00000334,8,6,0,0,0,0,0,0,0,0.21316,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.21342,R
0,00000121,4,2,0,0,0,,,,,0.21359,R
0,0000012A,8,0,0,0,0,0,0,0,0,0.21385,R
0,00000130,4,10,27,0,0,,,,,0.21402,R
0,00000134,8,0,0,0,0,0,0,0,0,0.21427,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.21453,R
0,000001F1,8,0,0,0,0,0,0,0,0,0.21478,R
0,000003C9,8,0,0,0,0,0,0,0,0,0.21504,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.2153,R
0,000000C9,8,98,B4,D4,9,0,0,0,0,0.21973,R
0,00000191,8,0,0,0,0,0,0,0,0,0.21999,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.22118,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.22144,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.2217,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.22195,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.22221,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.22246,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.22272,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.2234,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.22366,R
0,000000C9,8,A7,B4,D4,9,0,0,0,0,0.2298,R
0,00000191,8,0,0,0,0,0,0,0,0,0.23006,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.23117,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.23142,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.23168,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.23194,R
0,00000184,8,4,0,0,0,0,0,0,0,0.23219,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.23245,R
0,00000334,8,6,0,0,0,0,0,0,0,0.2327,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.23296,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.23339,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.23458,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.23484,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.23543,R
0,000001C3,8,AE,B4,D4,9,0,0,0,0,0.23569,R
0,00000121,4,2,0,0,0,,,,,0.23834,R
0,000000C9,8,BB,B4,D4,9,0,0,0,0,0.23979,R
0,00000191,8,0,0,0,0,0,0,0,0,0.24004,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.24115,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.24141,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.24166,R
0,00000348,8,0A,0,0,0,0,0,0,0,0.24192,R
0,000002F9,8,9,0,0,0,0,0,0,0,0.24218,R
0,0000034A,8,0B,0,0,0,0,0,0,0,0.24243,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.24346,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.24721,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.24747,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.24772,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.24798,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.24823,R
0,000000C9,8,CA,B4,D4,9,0,0,0,0,0.24977,R
0,00000191,8,0,0,0,0,0,0,0,0,0.25003,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.25122,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.25148,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.25173,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.25199,R
0,00000184,8,4,0,0,0,0,0,0,0,0.25225,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.25242,R
0,00000334,8,6,0,0,0,0,0,0,0,0.25267,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.25293,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.25344,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.2537,R
0,000000C9,8,D9,B4,D4,9,0,0,0,0,0.25975,R
0,00000191,8,0,0,0,0,0,0,0,0,0.26001,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.26027,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.26052,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.26078,R
